,scripcode,symbol
0,SRF.NS,SRF.NS
1,NRAIL.NS,NRAIL.NS
2,KTKBANK.NS,KTKBANK.NS
3,EQUITASBNK.NS,EQUITASBNK.NS
4,ASHOKLEY.NS,ASHOKLEY.NS
5,HEMIPROP.NS,HEMIPROP.NS
6,HGS.NS,HGS.NS
7,ULTRACEMCO.NS,ULTRACEMCO.NS
8,GOLDIAM.NS,GOLDIAM.NS
9,GEECEE.NS,GEECEE.NS
10,STCINDIA.NS,STCINDIA.NS
11,IDBI.NS,IDBI.NS
12,AARTIIND.NS,AARTIIND.NS
13,KRISHANA.NS,KRISHANA.NS
14,MUTHOOTFIN.NS,MUTHOOTFIN.NS
15,INEOSSTYRO.NS,INEOSSTYRO.NS
16,ASTERDM.NS,ASTERDM.NS
17,MANAPPURAM.NS,MANAPPURAM.NS
18,INDHOTEL.NS,INDHOTEL.NS
19,DPABHUSHAN.NS,DPABHUSHAN.NS
20,AVTNPL.NS,AVTNPL.NS
21,PRECAM.NS,PRECAM.NS
22,HINDNATGLS.NS,HINDNATGLS.NS
23,COFFEEDAY.NS,COFFEEDAY.NS
24,JKPAPER.NS,JKPAPER.NS
25,SCHAND.NS,SCHAND.NS
26,3MINDIA.NS,3MINDIA.NS
27,SHREYAS.NS,SHREYAS.NS
28,SBILIFE.NS,SBILIFE.NS
29,SFL.NS,SFL.NS
30,SANGHIIND.NS,SANGHIIND.NS
31,GODFRYPHLP.NS,GODFRYPHLP.NS
32,SHOPERSTOP.NS,SHOPERSTOP.NS
33,NIITLTD.NS,NIITLTD.NS
34,SUPRAJIT.NS,SUPRAJIT.NS
35,IDFCFIRSTB.NS,IDFCFIRSTB.NS
36,ALEMBICLTD.NS,ALEMBICLTD.NS
37,NBVENTURES.NS,NBVENTURES.NS
38,BEPL.NS,BEPL.NS
39,HINDALCO.NS,HINDALCO.NS
40,MAXHEALTH.NS,MAXHEALTH.NS
41,BCG.NS,BCG.NS
42,LUXIND.NS,LUXIND.NS
43,KSL.NS,KSL.NS
44,TARC.NS,TARC.NS
45,MINDAIND.NS,MINDAIND.NS
46,DEEPAKFERT.NS,DEEPAKFERT.NS
47,HTMEDIA.NS,HTMEDIA.NS
48,BLUESTARCO.NS,BLUESTARCO.NS
49,PITTIENG.NS,PITTIENG.NS
50,HUDCO.NS,HUDCO.NS
51,SMLISUZU.NS,SMLISUZU.NS
52,ANDHRSUGAR.NS,ANDHRSUGAR.NS
53,PHILIPCARB.NS,PHILIPCARB.NS
54,CAPACITE.NS,CAPACITE.NS
55,KINGFA.NS,KINGFA.NS
56,HARRMALAYA.NS,HARRMALAYA.NS
57,APOLLOPIPE.NS,APOLLOPIPE.NS
58,NEOGEN.NS,NEOGEN.NS
59,TATAINVEST.NS,TATAINVEST.NS
60,SANGAMIND.NS,SANGAMIND.NS
61,ACC.NS,ACC.NS
62,CHOLAFIN.NS,CHOLAFIN.NS
63,IBREALEST.NS,IBREALEST.NS
64,LTI.NS,LTI.NS
65,JINDALSAW.NS,JINDALSAW.NS
66,CUPID.NS,CUPID.NS
67,KKCL.NS,KKCL.NS
68,KALPATPOWR.NS,KALPATPOWR.NS
69,MCDOWELL-N.NS,MCDOWELL-N.NS
70,PRECOT.NS,PRECOT.NS
71,VAKRANGEE.NS,VAKRANGEE.NS
72,FCL.NS,FCL.NS
73,BALRAMCHIN.NS,BALRAMCHIN.NS
74,SIRCA.NS,SIRCA.NS
75,FINPIPE.NS,FINPIPE.NS
76,AIRAN.NS,AIRAN.NS
77,TEXINFRA.NS,TEXINFRA.NS
78,JUBLINDS.NS,JUBLINDS.NS
79,REPRO.NS,REPRO.NS
80,ALOKINDS.NS,ALOKINDS.NS
81,RADICO.NS,RADICO.NS
82,MGL.NS,MGL.NS
83,BASF.NS,BASF.NS
84,MUNJALAU.NS,MUNJALAU.NS
85,TI.NS,TI.NS
86,IRFC.NS,IRFC.NS
87,USHAMART.NS,USHAMART.NS
88,COLPAL.NS,COLPAL.NS
89,MOLDTKPAC.NS,MOLDTKPAC.NS
90,PSPPROJECT.NS,PSPPROJECT.NS
91,ASALCBR.NS,ASALCBR.NS
92,MAGADSUGAR.NS,MAGADSUGAR.NS
93,NAZARA.NS,NAZARA.NS
94,ABCAPITAL.NS,ABCAPITAL.NS
95,INDIAGLYCO.NS,INDIAGLYCO.NS
96,ZYDUSWELL.NS,ZYDUSWELL.NS
97,SUBEXLTD.NS,SUBEXLTD.NS
98,SUULD.NS,SUULD.NS
99,HONDAPOWER.NS,HONDAPOWER.NS
100,MANINFRA.NS,MANINFRA.NS
101,IRB.NS,IRB.NS
102,KANPRPLA.NS,KANPRPLA.NS
103,SILINV.NS,SILINV.NS
104,NHPC.NS,NHPC.NS
105,TIRUMALCHM.NS,TIRUMALCHM.NS
106,TRIGYN.NS,TRIGYN.NS
107,CDSL.NS,CDSL.NS
108,SUTLEJTEX.NS,SUTLEJTEX.NS
