,price_in,time_in,type,price_out,time_out,stocks,open,last day Close,profit
CESC,781.35,2021-08-14 09:15:02,short,781.35,2021-08-14 11:15:01,CESC,777.5,775.0,0.0
HEMIPROP,135.0,2021-08-14 09:15:02,long,135.0,2021-08-14 11:15:01,HEMIPROP,136.25,136.25,0.0
CLNINDIA,589.55,2021-08-14 09:15:02,long,589.55,2021-08-14 11:15:01,CLNINDIA,590.9500122070312,589.75,0.0
GNFC,366.1,2021-08-14 09:15:02,short,366.1,2021-08-14 11:15:01,GNFC,366.20001220703125,366.45001220703125,0.0
GUJALKALI,483.35,2021-08-14 09:15:02,long,483.35,2021-08-14 11:15:01,GUJALKALI,484.95001220703125,482.6000061035156,0.0
HARRMALAYA,200.15,2021-08-14 09:15:02,long,200.15,2021-08-14 11:15:01,HARRMALAYA,202.0,200.9499969482422,0.0
HIMATSEIDE,263.95,2021-08-14 09:15:02,short,263.95,2021-08-14 11:15:01,HIMATSEIDE,255.0,256.75,0.0
INDIAGLYCO,726.0,2021-08-14 09:15:02,short,726.0,2021-08-14 11:15:01,INDIAGLYCO,742.2000122070312,735.4000244140625,0.0
KANPRPLA,245.85,2021-08-14 09:15:02,long,245.85,2021-08-14 11:15:01,KANPRPLA,248.10000610351562,248.25,0.0
KAKATCEM,268.0,2021-08-14 09:15:02,short,268.0,2021-08-14 11:15:01,KAKATCEM,266.0,263.6499938964844,0.0
KOPRAN,213.65,2021-08-14 09:15:02,long,213.65,2021-08-14 11:15:01,KOPRAN,215.0500030517578,215.0,0.0
MAHSEAMLES,322.2,2021-08-14 09:15:02,short,322.2,2021-08-14 11:15:01,MAHSEAMLES,314.1499938964844,311.6499938964844,0.0
NELCO,493.95,2021-08-14 09:15:02,short,493.95,2021-08-14 11:15:01,NELCO,493.95001220703125,493.95001220703125,0.0
PRSMJOHNSN,133.75,2021-08-14 09:15:02,long,133.75,2021-08-14 11:15:01,PRSMJOHNSN,137.0,136.89999389648438,0.0
RSWM,340.4,2021-08-14 09:15:02,long,340.4,2021-08-14 11:15:01,RSWM,340.3500061035156,340.3500061035156,0.0
