,price_in,time_in,type,price_out,time_out,profit
BEL,174.5,2021-08-14 09:32:04,short,174.5,2021-08-14 16:01:05,0.0
IFGLEXPOR,415.2,2021-08-14 09:32:04,long,415.2,2021-08-14 16:01:05,0.0
TATACOFFEE,206.1,2021-08-14 09:32:04,long,206.1,2021-08-14 16:01:06,0.0
DCMSHRIRAM,953.15,2021-08-14 09:32:04,short,953.15,2021-08-14 16:01:06,0.0
KANSAINER,628.1,2021-08-14 09:32:04,short,628.1,2021-08-14 16:01:06,0.0
HINDOILEXP,169.45,2021-08-14 09:32:04,long,169.45,2021-08-14 16:01:06,0.0
JAYSREETEA,117.3,2021-08-14 09:32:04,long,117.3,2021-08-14 16:01:06,0.0
RAMCOCEM,980.05,2021-08-14 09:32:05,short,980.05,2021-08-14 16:01:06,0.0
HEIDELBERG,262.6,2021-08-14 09:32:05,short,262.6,2021-08-14 16:01:06,0.0
RALLIS,293.7,2021-08-14 09:32:05,short,293.7,2021-08-14 16:01:06,0.0
SAIL,133.95,2021-08-14 09:32:05,long,133.95,2021-08-14 16:01:07,0.0
ZEEL,183.25,2021-08-14 09:32:05,short,183.25,2021-08-14 16:01:07,0.0
GRSE,191.1,2021-08-14 09:32:07,short,191.1,2021-08-14 16:01:07,0.0
MONTECARLO,348.45,2021-08-14 09:32:07,short,348.45,2021-08-14 16:01:07,0.0
CYBERTECH,168.85,2021-08-14 09:32:07,short,168.85,2021-08-14 16:01:07,0.0
STAR,662.15,2021-08-14 09:32:07,short,662.15,2021-08-14 16:01:07,0.0
NRBBEARING,125.65,2021-08-14 09:32:07,short,125.65,2021-08-14 16:01:07,0.0
RPSGVENT,682.5,2021-08-14 09:32:07,short,682.5,2021-08-14 16:01:07,0.0
MCDOWELL-N,660.5,2021-08-14 09:32:07,short,660.5,2021-08-14 16:01:07,0.0
KRBL,263.75,2021-08-14 09:32:07,short,263.75,2021-08-14 16:01:07,0.0
SHREEPUSHK,185.25,2021-08-14 09:32:07,short,185.25,2021-08-14 16:01:08,0.0
TVTODAY,290.9,2021-08-14 09:32:08,short,290.9,2021-08-14 16:01:08,0.0
RKFORGE,935.45,2021-08-14 09:32:08,short,935.45,2021-08-14 16:01:08,0.0
APARINDS,632.5,2021-08-14 09:32:08,short,632.5,2021-08-14 16:01:08,0.0
COFORGE,4811.45,2021-08-14 09:32:08,short,4811.45,2021-08-14 16:01:08,0.0
INDOCO,476.8,2021-08-14 09:32:08,short,476.8,2021-08-14 16:01:08,0.0
KEC,405.65,2021-08-14 09:32:08,long,405.65,2021-08-14 16:01:08,0.0
VISHWARAJ,151.3,2021-08-14 09:32:08,short,151.3,2021-08-14 16:01:08,0.0
TORNTPOWER,464.25,2021-08-14 09:32:08,short,464.25,2021-08-14 16:01:08,0.0
LUMAXTECH,156.2,2021-08-14 09:32:08,short,156.2,2021-08-14 16:01:09,0.0
MINDAIND,714.3,2021-08-14 09:32:08,long,714.3,2021-08-14 16:01:09,0.0
POWERGRID,184.75,2021-08-14 09:32:09,long,184.75,2021-08-14 16:01:09,0.0
KOLTEPATIL,245.15,2021-08-14 09:32:09,long,245.15,2021-08-14 16:01:09,0.0
UBL,1396.55,2021-08-14 09:32:09,short,1396.55,2021-08-14 16:01:09,0.0
DBCORP,91.3,2021-08-14 09:32:09,short,91.3,2021-08-14 16:01:09,0.0
KSL,418.6,2021-08-14 09:32:09,long,418.6,2021-08-14 16:01:09,0.0
CAREERP,153.75,2021-08-14 09:32:10,short,153.75,2021-08-14 16:01:10,0.0
DOLLAR,366.95,2021-08-14 09:32:10,short,366.95,2021-08-14 16:01:10,0.0
MOIL,181.6,2021-08-14 09:32:10,long,181.6,2021-08-14 16:01:10,0.0
BFINVEST,358.95,2021-08-14 09:32:10,short,358.95,2021-08-14 16:01:10,0.0
MAGADSUGAR,265.7,2021-08-14 09:32:10,long,265.7,2021-08-14 16:01:10,0.0
ABCAPITAL,116.8,2021-08-14 09:32:10,long,116.8,2021-08-14 16:01:10,0.0
DIXON,4214.25,2021-08-14 09:32:10,short,4214.25,2021-08-14 16:01:10,0.0
CAPACITE,217.2,2021-08-14 09:32:10,short,217.2,2021-08-14 16:01:10,0.0
ICICIGI,1450.05,2021-08-14 09:32:10,short,1450.05,2021-08-14 16:01:10,0.0
ROSSELLIND,167.5,2021-08-14 09:32:11,long,167.5,2021-08-14 16:01:10,0.0
OFSS,4618.45,2021-08-14 09:32:11,short,4618.45,2021-08-14 16:01:11,0.0
APTECHT,257.4,2021-08-14 09:32:11,long,257.4,2021-08-14 16:01:11,0.0
CANBK,156.0,2021-08-14 09:32:11,short,156.0,2021-08-14 16:01:11,0.0
