,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,price_in,time_in,type,price_out,time_out,stocks,open,profit,last day Close
0,0.0,0.0,ABAN,42.75,2021-07-19 03:45:59,short,43.45,2021-07-19 05:46:27,ABAN,0.0,-1.6110471806674402,
1,1.0,1.0,AAKASH,219.55,2021-07-19 03:45:59,long,220.05,2021-07-19 05:46:27,AAKASH,0.0,0.2277385561375541,
2,2.0,2.0,ANGELBRKG,1356.2,2021-07-19 03:45:59,short,1461.55,2021-07-19 03:51:41,ANGELBRKG,0.0,-7.208100988676399,
3,3.0,3.0,BANARBEADS,70.5,2021-07-19 03:45:59,long,69.0,2021-07-19 03:56:36,BANARBEADS,0.0,-2.127659574468085,
4,4.0,4.0,5PAISA,530.2,2021-07-19 03:45:59,long,550.0,2021-07-19 03:52:28,5PAISA,0.0,3.734439834024887,
5,5.0,5.0,RELINFRA,78.0,2021-07-19 03:45:59,long,79.75,2021-07-19 04:27:37,RELINFRA,0.0,2.243589743589744,
6,6.0,6.0,ASTRON,70.0,2021-07-19 03:46:02,long,71.4,2021-07-19 03:48:06,ASTRON,0.0,2.000000000000008,
7,7.0,7.0,GHCL,313.25,2021-07-19 03:46:02,long,314.0,2021-07-19 05:46:27,GHCL,0.0,0.2394253790901835,
8,8.0,8.0,GIPCL,94.5,2021-07-19 03:46:02,short,97.5,2021-07-19 04:09:35,GIPCL,0.0,-3.076923076923077,
9,9.0,9.0,HIMATSEIDE,259.05,2021-07-19 03:46:04,short,271.1,2021-07-19 05:37:34,HIMATSEIDE,0.0,-4.444854297307271,
10,10.0,10.0,INDIANHUME,233.15,2021-07-19 03:46:04,long,236.0,2021-07-19 05:46:27,INDIANHUME,0.0,1.222389019944239,
11,11.0,11.0,RKEC,100.8,2021-07-19 03:46:04,long,103.4,2021-07-19 04:17:10,RKEC,0.0,2.579365079365088,
12,12.0,12.0,ITI,133.7,2021-07-19 03:46:04,long,134.1,2021-07-19 05:46:27,ITI,0.0,0.2991772625280521,
13,13.0,13.0,MANGLMCEM,418.5,2021-07-19 03:46:06,short,420.75,2021-07-19 05:46:27,MANGLMCEM,0.0,-0.53475935828877,
14,14.0,14.0,SHREYANIND,113.5,2021-07-19 03:46:09,long,115.6,2021-07-19 03:55:23,SHREYANIND,0.0,1.850220264317176,
15,15.0,15.0,SHREYAS,193.8,2021-07-19 03:46:09,long,202.15,2021-07-19 04:46:46,SHREYAS,0.0,4.308565531475745,
16,16.0,16.0,WHEELS,768.5,2021-07-19 03:46:09,short,790.25,2021-07-19 03:56:04,WHEELS,0.0,-2.752293577981652,
17,17.0,17.0,ZODIACLOTH,134.0,2021-07-19 03:46:09,long,136.55,2021-07-19 03:51:51,ZODIACLOTH,0.0,1.9029850746268744,
18,18.0,18.0,JAICORPLTD,166.8,2021-07-19 03:46:11,short,163.6,2021-07-19 04:02:22,JAICORPLTD,0.0,1.95599022004891,
19,19.0,19.0,CYIENT,1017.65,2021-07-19 03:46:13,long,1020.8,2021-07-19 05:46:27,CYIENT,0.0,0.3095366776396577,
20,20.0,20.0,CYBERTECH,191.35,2021-07-19 03:46:13,long,195.0,2021-07-19 03:49:45,CYBERTECH,0.0,1.907499346746802,
21,21.0,21.0,INOXWIND,103.6,2021-07-19 03:46:13,long,106.5,2021-07-19 03:48:20,INOXWIND,0.0,2.799227799227805,
22,22.0,22.0,MAHLIFE,674.1,2021-07-19 03:46:13,long,681.5,2021-07-19 05:46:27,MAHLIFE,0.0,1.0977599762646455,
23,23.0,23.0,VETO,143.6,2021-07-19 03:46:13,long,135.3,2021-07-19 03:46:53,VETO,0.0,-5.7799442896935815,
24,24.0,24.0,ANUP,992.4,2021-07-19 03:46:16,short,1013.5,2021-07-19 04:01:04,ANUP,0.0,-2.081894425259005,
25,25.0,25.0,UFO,104.0,2021-07-19 03:46:16,long,106.0,2021-07-19 04:17:22,UFO,0.0,1.9230769230769231,
26,26.0,26.0,MAHESHWARI,109.45,2021-07-19 03:46:16,short,112.3,2021-07-19 04:11:53,MAHESHWARI,0.0,-2.537845057880672,
27,27.0,27.0,ARVSMART,127.05,2021-07-19 03:46:16,long,130.15,2021-07-19 04:51:57,ARVSMART,0.0,2.439984258166083,
28,28.0,28.0,CREATIVE,207.1,2021-07-19 03:46:18,long,209.05,2021-07-19 05:46:27,CREATIVE,0.0,0.9415741187832048,
29,29.0,29.0,DATAMATICS,241.65,2021-07-19 03:46:18,long,253.6,2021-07-19 03:54:50,DATAMATICS,0.0,4.945168632319465,
30,30.0,30.0,XCHANGING,102.35,2021-07-19 03:46:20,short,107.5,2021-07-19 03:57:38,XCHANGING,0.0,-4.79069767441861,
31,31.0,31.0,MANGALAM,161.55,2021-07-19 03:46:20,long,165.1,2021-07-19 03:55:35,MANGALAM,0.0,2.197462086041462,
32,32.0,32.0,ICIL,199.95,2021-07-19 03:46:20,long,206.15,2021-07-19 03:51:20,ICIL,0.0,3.1007751937984582,
33,33.0,33.0,DOLAT,105.0,2021-07-19 03:46:20,long,106.8,2021-07-19 03:50:38,DOLAT,0.0,1.7142857142857115,
34,34.0,34.0,PRECAM,89.95,2021-07-19 03:46:20,long,90.4,2021-07-19 05:46:27,PRECAM,0.0,0.5002779321845502,
35,35.0,35.0,NAHARINDUS,111.2,2021-07-19 03:46:20,short,113.6,2021-07-19 05:46:27,NAHARINDUS,0.0,-2.112676056338021,
36,36.0,36.0,INDOTECH,255.0,2021-07-19 03:46:20,long,259.95,2021-07-19 03:52:49,INDOTECH,0.0,1.9411764705882308,
37,37.0,37.0,KELLTONTEC,60.6,2021-07-19 03:46:23,long,62.2,2021-07-19 03:57:40,KELLTONTEC,0.0,2.6402640264026425,
38,38.0,38.0,GEECEE,179.0,2021-07-19 03:46:23,long,183.85,2021-07-19 04:49:14,GEECEE,0.0,2.709497206703908,
39,39.0,39.0,INSPIRISYS,69.6,2021-07-19 03:46:23,long,68.15,2021-07-19 03:50:41,INSPIRISYS,0.0,-2.083333333333317,
40,40.0,40.0,SUTLEJTEX,78.85,2021-07-19 03:46:23,short,75.35,2021-07-19 04:56:39,SUTLEJTEX,0.0,4.644990046449901,
41,41.0,41.0,DONEAR,52.8,2021-07-19 03:46:23,long,53.95,2021-07-19 03:49:55,DONEAR,0.0,2.178030303030314,
42,42.0,42.0,SIYSIL,420.15,2021-07-19 03:46:23,short,422.25,2021-07-19 05:46:27,SIYSIL,0.0,-0.4973357015985844,
43,43.0,43.0,IZMO,86.05,2021-07-19 03:46:25,long,87.75,2021-07-19 03:56:22,IZMO,0.0,1.975595583962816,
44,44.0,44.0,ORIENTBELL,321.0,2021-07-19 03:46:25,long,330.15,2021-07-19 03:51:25,ORIENTBELL,0.0,2.850467289719619,
45,45.0,45.0,FSL,224.6,2021-07-19 03:46:25,long,228.9,2021-07-19 03:52:53,FSL,0.0,1.9145146927871823,
46,46.0,46.0,NAHARSPING,315.0,2021-07-19 03:46:25,short,308.65,2021-07-19 03:51:25,NAHARSPING,0.0,2.057346508990774,
47,47.0,47.0,BANSWRAS,209.0,2021-07-19 03:46:25,short,210.65,2021-07-19 05:46:27,BANSWRAS,0.0,-0.7832898172323787,
48,48.0,48.0,AROGRANITE,68.7,2021-07-19 03:46:25,long,70.4,2021-07-19 03:50:43,AROGRANITE,0.0,2.4745269286754046,
49,49.0,49.0,BFUTILITIE,525.1,2021-07-19 03:46:25,short,534.25,2021-07-19 05:46:27,BFUTILITIE,0.0,-1.7126813289658358,
50,50.0,50.0,NELCAST,90.6,2021-07-19 03:46:25,short,89.6,2021-07-19 05:46:27,NELCAST,0.0,1.1160714285714286,
51,51.0,51.0,V2RETAIL,125.95,2021-07-19 03:46:25,long,129.7,2021-07-19 03:52:53,V2RETAIL,0.0,2.9773719730051496,
52,52.0,52.0,TARMAT,83.45,2021-07-19 03:46:25,short,87.65,2021-07-19 05:36:29,TARMAT,0.0,-4.79178551055334,
53,53.0,53.0,MADHAV,65.35,2021-07-19 03:46:27,long,67.4,2021-07-19 03:53:36,MADHAV,0.0,3.136954858454493,
54,54.0,54.0,BIRLAMONEY,77.95,2021-07-19 03:46:27,long,79.75,2021-07-19 03:49:16,BIRLAMONEY,0.0,2.3091725465041657,
55,55.0,55.0,KNRCON,250.0,2021-07-19 03:46:27,long,255.8,2021-07-19 03:59:10,KNRCON,0.0,2.3200000000000047,
56,56.0,56.0,HERCULES,170.0,2021-07-19 03:46:27,long,175.0,2021-07-19 04:10:01,HERCULES,0.0,2.941176470588235,
57,57.0,57.0,GSS,74.25,2021-07-19 03:46:27,long,76.35,2021-07-19 03:50:46,GSS,0.0,2.8282828282828203,
58,58.0,58.0,PANACHE,76.05,2021-07-19 03:46:27,long,78.15,2021-07-19 03:47:07,PANACHE,0.0,2.761341222879696,
59,59.0,59.0,20MICRONS,67.75,2021-07-19 03:46:30,short,68.6,2021-07-19 05:46:27,20MICRONS,0.0,-1.239067055393578,
60,60.0,60.0,ALKALI,89.0,2021-07-19 03:46:30,long,90.9,2021-07-19 04:02:40,ALKALI,0.0,2.134831460674164,
