,price_in,time_in,type,price_out,time_out,stocks,open,profit,
DCM,39.9,05/07/2021 03:45,long,39.5,05/07/2021 03:50,DCM,39.5,-1.002506266,0
EPL,288.05,05/07/2021 03:45,short,283.3,05/07/2021 05:45,EPL,288.0499878,1.676667843,1
NEWGEN,677.6,05/07/2021 03:45,short,697.7,05/07/2021 04:06,NEWGEN,677.5999756,-2.880894367,0
REPL,254.9,05/07/2021 03:45,short,250.05,05/07/2021 03:51,REPL,254.8999939,1.939612078,1
IFBAGRO,612.95,05/07/2021 03:45,short,625.75,05/07/2021 05:33,IFBAGRO,612.9500122,-2.045545346,0
INDIANHUME,236.7,05/07/2021 03:45,short,238.85,05/07/2021 05:45,INDIANHUME,236.6999969,-0.900146535,0
RKEC,113.1,05/07/2021 03:45,short,111.45,05/07/2021 05:45,RKEC,113.0999985,1.480484522,1
MANGLMCEM,371,05/07/2021 03:45,short,370,05/07/2021 05:45,MANGLMCEM,367.1499939,0.27027027,1
BESTAGRO,408.1,05/07/2021 03:45,short,405.85,05/07/2021 05:45,BESTAGRO,408.1000061,0.554392017,1
RSWM,281.3,05/07/2021 03:45,short,276.1,05/07/2021 03:53,RSWM,281.2999878,1.883375589,1
WONDERLA,223.7,05/07/2021 03:45,short,218.15,05/07/2021 05:45,WONDERLA,223.6999969,2.544121018,1
VLSFINANCE,197,05/07/2021 03:45,short,200.5,05/07/2021 03:46,VLSFINANCE,197,-1.74563591,0
TOKYOPLAST,102.5,05/07/2021 03:45,short,99,05/07/2021 04:02,TOKYOPLAST,102.25,3.535353535,1
GOCLCORP,285,05/07/2021 03:45,short,283,05/07/2021 05:45,GOCLCORP,284.9500122,0.706713781,1
IRCON,48.45,05/07/2021 03:45,short,48,05/07/2021 05:45,IRCON,48.5,0.9375,1
CIGNITITEC,673.7,05/07/2021 03:45,short,659.15,05/07/2021 03:47,CIGNITITEC,676,2.207388303,1
KOTHARIPRO,110,05/07/2021 03:45,long,107.7,05/07/2021 03:48,KOTHARIPRO,109,-2.090909091,0
KOTAKBKETF,330.5,05/07/2021 03:45,long,354.5,05/07/2021 03:45,KOTAKBKETF,330.5,7.26172466,1
FCL,89.7,05/07/2021 03:45,short,89,05/07/2021 05:45,FCL,89.34999847,0.786516854,1
VETO,156.55,05/07/2021 03:45,short,162.25,05/07/2021 03:49,VETO,156.5500031,-3.513097072,0
USHAMART,55.65,05/07/2021 03:45,short,56.6,05/07/2021 04:10,USHAMART,55,-1.67844523,0
EMAMIPAP,159.65,05/07/2021 03:45,short,157.3,05/07/2021 05:45,EMAMIPAP,159,1.493960585,1
SETFNIF50,168.66,05/07/2021 03:45,short,160,05/07/2021 03:45,SETFNIF50,159.9799957,5.4125,1
RAMASTEEL,151.65,05/07/2021 03:45,short,151.65,05/07/2021 05:45,RAMASTEEL,151.6499939,0,0
MAJESCO,93.55,05/07/2021 03:45,short,92.8,05/07/2021 05:45,MAJESCO,94,0.808189655,1
SHARDAMOTR,697.65,05/07/2021 03:45,long,686,05/07/2021 03:45,SHARDAMOTR,697.9500122,-1.66989178,0
NAVKARCORP,41.45,05/07/2021 03:45,short,41.15,05/07/2021 05:45,NAVKARCORP,40.79999924,0.729040097,1
OLECTRA,248,05/07/2021 03:45,short,243.25,05/07/2021 04:32,OLECTRA,246.1000061,1.952723535,1
PONNIERODE,378.8,05/07/2021 03:45,short,370,05/07/2021 03:50,PONNIERODE,378.9500122,2.378378378,1
DCMNVL,139,05/07/2021 03:45,short,141.1,05/07/2021 05:45,DCMNVL,139,-1.488306166,0
SATIA,108.5,05/07/2021 03:45,short,105,05/07/2021 04:47,SATIA,109,3.333333333,1
SIRCA,338,05/07/2021 03:45,short,331.7,05/07/2021 05:11,SIRCA,337.9500122,1.899306602,1
LIBAS,64.95,05/07/2021 03:45,short,66.45,05/07/2021 04:49,LIBAS,64.90000153,-2.257336343,0
TVSELECT,178.4,05/07/2021 03:45,short,185.35,05/07/2021 03:57,TVSELECT,178.0500031,-3.7496628,0
CCL,405.1,05/07/2021 03:45,short,423.4,05/07/2021 03:49,CCL,398,-4.322153991,0
GOKEX,158.45,05/07/2021 03:45,short,161.45,05/07/2021 04:50,GOKEX,157.8000031,-1.858160421,0
GEOJITFSL,79.1,05/07/2021 03:45,short,78.95,05/07/2021 05:45,GEOJITFSL,78.75,0.189993667,1
IIFLSEC,77.2,05/07/2021 03:45,short,76.85,05/07/2021 05:45,IIFLSEC,77.05000305,0.455432661,1
