,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
0,12487,CYIENT-BL,CYIENT,,-1.000000,1,,NSE,5.000000
1,44476,BANKNIFTY29SEP2243100CE,BANKNIFTY,29SEP2022,4310000.000000,25,OPTIDX,NFO,5.000000
2,46389,BANKNIFTY20OCT2232000PE,BANKNIFTY,20OCT2022,3200000.000000,25,OPTIDX,NFO,5.000000
3,52099,BANKNIFTY29SEP2242600CE,BANKNIFTY,29SEP2022,4260000.000000,25,OPTIDX,NFO,5.000000
4,57085,BANKNIFTY27OCT2236000CE,BANKNIFTY,27OCT2022,3600000.000000,25,OPTIDX,NFO,5.000000
5,37334,BANKNIFTY06OCT2239600CE,BANKNIFTY,06OCT2022,3960000.000000,25,OPTIDX,NFO,5.000000
6,57131,BANKNIFTY30MAR2340500CE,BANKNIFTY,30MAR2023,4050000.000000,25,OPTIDX,NFO,5.000000
7,58944,BANKNIFTY22SEP2239800CE,BANKNIFTY,22SEP2022,3980000.000000,25,OPTIDX,NFO,5.000000
8,57089,BANKNIFTY27OCT2236200CE,BANKNIFTY,27OCT2022,3620000.000000,25,OPTIDX,NFO,5.000000
9,60746,BANKNIFTY24NOV2241800PE,BANKNIFTY,24NOV2022,4180000.000000,25,OPTIDX,NFO,5.000000
10,37706,BANKNIFTY29SEP2239900CE,BANKNIFTY,29SEP2022,3990000.000000,25,OPTIDX,NFO,5.000000
11,40070,BANKNIFTY13OCT2239100CE,BANKNIFTY,13OCT2022,3910000.000000,25,OPTIDX,NFO,5.000000
12,54032,BANKNIFTY20OCT2242000PE,BANKNIFTY,20OCT2022,4200000.000000,25,OPTIDX,NFO,5.000000
13,42589,BANKNIFTY29SEP2238400CE,BANKNIFTY,29SEP2022,3840000.000000,25,OPTIDX,NFO,5.000000
14,56186,BANKNIFTY29SEP2233200CE,BANKNIFTY,29SEP2022,3320000.000000,25,OPTIDX,NFO,5.000000
15,53678,BANKNIFTY20OCT2238700CE,BANKNIFTY,20OCT2022,3870000.000000,25,OPTIDX,NFO,5.000000
16,37386,BANKNIFTY06OCT2240800PE,BANKNIFTY,06OCT2022,4080000.000000,25,OPTIDX,NFO,5.000000
17,72217,BANKNIFTY29SEP2234500PE,BANKNIFTY,29SEP2022,3450000.000000,25,OPTIDX,NFO,5.000000
18,56269,BANKNIFTY29SEP2238000PE,BANKNIFTY,29SEP2022,3800000.000000,25,OPTIDX,NFO,5.000000
19,36769,BANKNIFTY29SEP2243400CE,BANKNIFTY,29SEP2022,4340000.000000,25,OPTIDX,NFO,5.000000
20,38713,BANKNIFTY27OCT2241600CE,BANKNIFTY,27OCT2022,4160000.000000,25,OPTIDX,NFO,5.000000
21,60662,BANKNIFTY24NOV2239900PE,BANKNIFTY,24NOV2022,3990000.000000,25,OPTIDX,NFO,5.000000
22,56195,BANKNIFTY29SEP2233600PE,BANKNIFTY,29SEP2022,3360000.000000,25,OPTIDX,NFO,5.000000
