,price_in,time_in,type,price_out,time_out,profit,,
APOLLOHOSP,3733.3,05/07/2021 04:02,short,3743,05/07/2021 04:25,-0.259150414,0,0.23
BEML,1344.3,05/07/2021 04:02,short,1345.3,05/07/2021 04:02,-0.074332863,0,1
NIACL,171.35,05/07/2021 04:02,short,170.05,05/07/2021 10:31,0.764481035,1,1
EXIDEIND,183.9,05/07/2021 04:02,long,183.85,05/07/2021 04:02,-0.02718869,0,0.73
AMBER,2985.15,05/07/2021 04:02,short,2990,05/07/2021 04:03,-0.162207358,0,1.5
GLAND,3479.05,05/07/2021 04:02,long,3473,05/07/2021 04:06,-0.173898047,0,-0.2
GREAVESCOT,172.65,05/07/2021 04:02,short,173.5,05/07/2021 04:07,-0.489913545,0,-0.51
BURGERKING,160.05,05/07/2021 04:02,short,160.7,05/07/2021 04:08,-0.404480398,0,-1.25
ASTERDM,156.25,05/07/2021 04:02,long,155.9,05/07/2021 04:03,-0.224,0,-0.34
INDIANHUME,238.6,05/07/2021 04:02,short,240,05/07/2021 04:22,-0.583333333,0,
JINDALPOLY,878.25,05/07/2021 04:02,long,875.1,05/07/2021 04:04,-0.358667805,0,0.18
VEDL,266.9,05/07/2021 04:02,long,272.45,05/07/2021 10:31,2.079430498,1,1.88
JUBLPHARMA,723.65,05/07/2021 04:02,short,724.8,05/07/2021 04:08,-0.158664459,0,-0.94
ZEEL,217.8,05/07/2021 04:02,long,218.85,05/07/2021 10:31,0.482093664,1,-0.1
TNPL,157.3,05/07/2021 04:02,long,157.05,05/07/2021 04:05,-0.158931977,0,-0.6
MOTHERSUMI,245.35,05/07/2021 04:02,short,242.95,05/07/2021 10:31,0.987857584,1,1.1
CREDITACC,728.95,05/07/2021 04:02,long,728,05/07/2021 04:02,-0.130324439,0,
SONATSOFTW,761.25,05/07/2021 04:02,long,754.8,05/07/2021 04:12,-0.84729064,0,-0.86
NRBBEARING,145.85,05/07/2021 04:02,short,146.5,05/07/2021 04:08,-0.443686007,0,2.82
CHALET,185.4,05/07/2021 04:02,short,187,05/07/2021 05:18,-0.855614973,0,
HAVELLS,996,05/07/2021 04:02,long,993.5,05/07/2021 04:04,-0.251004016,0,
NIFTYBEES,170.19,05/07/2021 04:02,long,170.06,05/07/2021 05:47,-0.076385217,0,
SHREEPUSHK,183.2,05/07/2021 04:02,long,191.65,05/07/2021 10:31,4.612445415,1,
OLECTRA,248.75,05/07/2021 04:02,short,249.7,05/07/2021 04:07,-0.380456548,0,
PETRONET,224.85,05/07/2021 04:02,short,223.95,05/07/2021 10:31,0.401875419,1,
SPANDANA,671.3,05/07/2021 04:02,long,670.5,05/07/2021 04:03,-0.119171756,0,
NIITLTD,309.3,05/07/2021 04:02,short,311.5,05/07/2021 04:03,-0.706260032,0,
SHOPERSTOP,239.3,05/07/2021 04:02,long,238.85,05/07/2021 04:03,-0.188048475,0,
IRCTC,2079,05/07/2021 04:02,long,2074.05,05/07/2021 04:37,-0.238095238,0,
TALBROAUTO,295.95,05/07/2021 04:02,long,294.9,05/07/2021 04:03,-0.35478966,0,
SIYSIL,308.85,05/07/2021 04:02,short,309.4,05/07/2021 04:02,-0.177763413,0,
SMSPHARMA,182.95,05/07/2021 04:02,long,182.55,05/07/2021 04:02,-0.218638972,0,
DECCANCE,598,05/07/2021 04:02,short,599.35,05/07/2021 04:04,-0.225244014,0,
ASIANTILES,187.05,05/07/2021 04:02,long,185.95,05/07/2021 04:20,-0.588078054,0,
DVL,259,05/07/2021 04:02,long,261.3,05/07/2021 10:31,0.888030888,1,
NESCO,608.95,05/07/2021 04:02,short,610.7,05/07/2021 04:28,-0.286556411,0,
HCG,221.95,05/07/2021 04:02,long,220.7,05/07/2021 04:03,-0.563189908,0,
TCIEXP,1458.65,05/07/2021 04:02,long,1518.75,05/07/2021 10:31,4.120248175,1,
CDSL,1047.5,05/07/2021 04:02,long,1038.2,05/07/2021 09:18,-0.887828162,0,
ESTER,135.3,05/07/2021 04:02,short,135.9,05/07/2021 04:11,-0.441501104,0,
ROSSELLIND,157.7,05/07/2021 04:02,short,158,05/07/2021 04:04,-0.189873418,0,
SCHNEIDER,125.05,05/07/2021 04:02,short,123.65,05/07/2021 10:31,1.132228063,1,
KCP,150.85,05/07/2021 04:02,short,152.3,05/07/2021 04:09,-0.952068286,0,
CHENNPETRO,143.75,05/07/2021 04:02,long,142.8,05/07/2021 04:09,-0.660869565,0,
LUPIN,1159.75,05/07/2021 04:02,long,1159,05/07/2021 04:11,-0.06466911,0,
SBICARD,979.5,05/07/2021 04:02,long,978.2,05/07/2021 04:23,-0.132720776,0,
APTECHT,255.3,05/07/2021 04:02,long,254.4,05/07/2021 04:02,-0.352526439,0,
TATAPOWER,124,05/07/2021 04:02,long,123.5,05/07/2021 04:15,-0.403225806,0,
APARINDS,542.8,05/07/2021 04:02,short,543.9,05/07/2021 04:04,-0.202243059,0,
ICICIGI,1604.2,05/07/2021 04:02,long,1597.05,05/07/2021 04:04,-0.445705024,0,
IBULHSGFIN,260.55,05/07/2021 04:02,short,261.3,05/07/2021 04:24,-0.287026406,0,
INDIACEM,193.75,05/07/2021 04:02,long,192.95,05/07/2021 04:05,-0.412903226,0,
MTARTECH,1329.9,05/07/2021 04:02,short,1334,05/07/2021 04:04,-0.307346327,0,
ICICIPRULI,622.5,05/07/2021 04:02,long,621.5,05/07/2021 04:02,-0.16064257,0,
SUNPHARMA,681.5,05/07/2021 04:02,long,680.9,05/07/2021 04:04,-0.088041086,0,
DATAMATICS,197.1,05/07/2021 04:02,short,197.5,05/07/2021 04:03,-0.202531646,0,
GOKEX,156.6,05/07/2021 04:02,short,157,05/07/2021 04:04,-0.25477707,0,
ASALCBR,506,05/07/2021 04:02,short,508.7,05/07/2021 06:11,-0.530764694,0,
HARRMALAYA,209.75,05/07/2021 04:02,long,209.05,05/07/2021 04:10,-0.333730632,0,
LODHA,676.9,05/07/2021 04:02,long,674,05/07/2021 04:08,-0.428423696,0,
EICHERMOT,2705.5,05/07/2021 04:02,long,2700.25,05/07/2021 05:10,-0.194049159,0,
HCLTECH,991.05,05/07/2021 04:03,short,979.75,05/07/2021 10:31,1.153355448,1,
MPHASIS,2173.4,05/07/2021 04:03,short,2177.8,05/07/2021 04:04,-0.202038755,0,
SUPREMEIND,2204.1,05/07/2021 04:04,long,2198.45,05/07/2021 04:07,-0.256340456,0,
HINDCOPPER,143.7,05/07/2021 04:04,long,143.3,05/07/2021 04:13,-0.27835769,0,
FORTIS,248.45,05/07/2021 04:04,long,247.6,05/07/2021 04:59,-0.342121151,0,
RAMCOCEM,1017.3,05/07/2021 04:04,short,1020.9,05/07/2021 04:43,-0.352630032,0,
CENTURYTEX,615.55,05/07/2021 04:07,short,619.95,05/07/2021 04:22,-0.709734656,0,
SRIPIPES,223.15,05/07/2021 04:09,short,225.5,05/07/2021 05:22,-1.042128603,0,
CAMS,2874,05/07/2021 04:27,short,2882,05/07/2021 04:35,-0.27758501,0,
IFGLEXPOR,394,05/07/2021 07:27,long,390.15,05/07/2021 10:31,-0.97715736,0,
,,,,,,-5.474881451,0,
,,,,,,,10,
