,price_in,time_in,type,price_out,time_out,stocks,open,profit
ANDHRSUGAR,577.75,2021-07-05 13:04:04,long,860.9,2021-07-05 13:09:47,ANDHRSUGAR,578.0,49.00908697533535
ARVIND,83.7,2021-07-05 13:04:04,short,860.9,2021-07-05 13:09:47,ARVIND,84.05000305175781,-90.27761644790336
UNIDT,328.6,2021-07-05 13:04:04,short,860.9,2021-07-05 13:09:47,UNIDT,329.45001220703125,-61.83064235102799
ASHOKLEY,125.15,2021-07-05 13:04:04,short,860.9,2021-07-05 13:09:47,ASHOKLEY,124.05000305175781,-85.46288767568824
IEX,392.25,2021-07-05 13:04:04,short,860.9,2021-07-05 13:09:47,IEX,391.5,-54.43721686607039
CHEMCON,522.85,2021-07-05 13:04:04,short,860.9,2021-07-05 13:09:47,CHEMCON,528.75,-39.267046114531304
BEPL,186.8,2021-07-05 13:04:04,short,860.9,2021-07-05 13:09:47,BEPL,187.5500030517578,-78.3017772098966
KHADIM,324.5,2021-07-05 13:04:04,long,860.9,2021-07-05 13:09:47,KHADIM,329.79998779296875,165.30046224961478
MAZDOCK,255.05,2021-07-05 13:04:04,short,860.9,2021-07-05 13:09:47,MAZDOCK,248.60000610351562,-70.37402718085724
BOMDYEING,87.25,2021-07-05 13:04:04,short,860.9,2021-07-05 13:09:47,BOMDYEING,88.0999984741211,-89.86525728888373
LIKHITHA,443.9,2021-07-05 13:04:04,short,860.9,2021-07-05 13:09:47,LIKHITHA,449.25,-48.43768149610872
CENTENKA,411.0,2021-07-05 13:04:04,short,860.9,2021-07-05 13:09:47,CENTENKA,406.95001220703125,-52.25926356138925
CENTURYTEX,631.8,2021-07-05 13:04:04,short,860.9,2021-07-05 13:09:47,CENTURYTEX,632.2999877929688,-26.61168544546405
SHALBY,191.25,2021-07-05 13:04:06,short,860.9,2021-07-05 13:09:47,SHALBY,191.35000610351562,-77.78487629225229
TATACOFFEE,194.8,2021-07-05 13:04:06,short,860.9,2021-07-05 13:09:47,TATACOFFEE,194.35000610351562,-77.37251713323265
FSC,91.2,2021-07-05 13:04:06,long,860.9,2021-07-05 13:09:47,FSC,91.5999984741211,843.9692982456139
DCMSHRIRAM,942.85,2021-07-05 13:04:06,short,860.9,2021-07-05 13:09:47,DCMSHRIRAM,946.0,9.519107910326408
ELGIEQUIP,215.6,2021-07-05 13:04:06,short,860.9,2021-07-05 13:09:47,ELGIEQUIP,215.3000030517578,-74.95644093390638
SUBEXLTD,59.3,2021-07-05 13:04:06,short,860.9,2021-07-05 13:09:47,SUBEXLTD,59.45000076293945,-93.11185968172843
EVERESTIND,392.3,2021-07-05 13:04:06,short,860.9,2021-07-05 13:09:47,EVERESTIND,382.25,-54.43140899059124
FEDERALBNK,87.15,2021-07-05 13:04:06,short,860.9,2021-07-05 13:09:47,FEDERALBNK,86.30000305175781,-89.87687303984202
GIPCL,85.75,2021-07-05 13:04:06,short,860.9,2021-07-05 13:09:47,GIPCL,85.80000305175781,-90.03949355325823
GUJALKALI,430.1,2021-07-05 13:04:06,short,860.9,2021-07-05 13:09:47,GUJALKALI,431.5,-50.04065512835404
HINDALCO,386.1,2021-07-05 13:04:08,short,860.9,2021-07-05 13:09:47,HINDALCO,382.79998779296875,-55.1515855500058
HSIL,257.8,2021-07-05 13:04:08,short,860.9,2021-07-05 13:09:47,HSIL,257.20001220703125,-70.054594029504
IFBAGRO,641.55,2021-07-05 13:04:08,short,860.9,2021-07-05 13:09:47,IFBAGRO,643.9000244140625,-25.479149727029853
SHIVAMILLS,93.6,2021-07-05 13:04:08,short,860.9,2021-07-05 13:09:47,SHIVAMILLS,93.80000305175781,-89.12765710303171
INDIAGLYCO,684.85,2021-07-05 13:04:08,long,860.9,2021-07-05 13:09:47,INDIAGLYCO,687.4500122070312,25.706359056727745
INDIANHUME,238.5,2021-07-05 13:04:08,short,860.9,2021-07-05 13:09:47,INDIANHUME,238.85000610351562,-72.2964339644558
RKEC,111.95,2021-07-05 13:04:08,short,860.9,2021-07-05 13:09:47,RKEC,112.05000305175781,-86.99616680218377
MGEL,57.75,2021-07-05 13:04:08,short,860.9,2021-07-05 13:09:47,MGEL,57.650001525878906,-93.29190382158207
HGINFRA,419.2,2021-07-05 13:04:08,short,860.9,2021-07-05 13:09:47,HGINFRA,416.8500061035156,-51.306771982808684
KANORICHEM,158.1,2021-07-05 13:04:08,short,860.9,2021-07-05 13:09:47,KANORICHEM,155.85000610351562,-81.63549773492856
KCP,152.4,2021-07-05 13:04:08,short,860.9,2021-07-05 13:09:47,KCP,152.64999389648438,-82.29759553955164
